SchoolName,CourseName,Approval,State,Webpage,Telephone
A-B-CPR & First AidTraining,Basic First Aid,"Any applicant who successfully completes your First Aid (ABCFAT-59) course willsatisfy the following requirements:⦁ The First Aid training requirements of 46 CFR 11.201(i)(1)(ii), PROVIDEDthat this training was completed within one year of the date of application;AND⦁ Elementary First Aid  Training requirements per 46 CFR 11.302(a)(3) and 46CFR 12.602(a)(3), as set out in STCW Code Table A-VI/1-3; AND⦁ Elementary First Aid standards of competence requirements of 46 CFR11.302(a)(3) and 46 CFR 12.602(a)(3), as set out in STCW Code Table A-VI/1-3of the STCW code, as amended 2010 and has met the desired standard ofcompetence from the National Assessment Guidelines of the ElementaryFirst Aid section of the Basic Training NVIC 08-14.Applicants who have successfully completed your course need not presentcompleted  Task Control Sheets  for these assessments in application for STCWcertification.",CA,#http://www.abcpr.biz/#,6192813304
A-B-CPR & First AidTraining,Basic Life SupportCPR,"Any applicant who successfully completes your Basic Life Support CPR(ABCFAT-132) course will satisfy the CPR training requirements of 46 CFR11.201(i)(2)(iii) for any national endorsement and STCW, as amended 2010 TableA-VI/1-3, and has met the desired standard of competence from the NationalAssessment Guidelines of the Elementary First Aid section of the Basic TrainingNVIC 08-14 for CPRfor any STCW officer endorsement, PROVIDED application issubmitted within 1 year of completion of the course.",CA,#http://www.abcpr.biz/#,6192813304
"AccuTrans, Inc.",Tank BargeDangerous Liquids& Liquefied Gases,Any applicant who successfully completes your Tank Barge Dangerous Liquids &Liquefied Gases (ACCUTR-492) course will satisfy the training requirements of 46CFR 13.301(c)(4) for an endorsement as Tankerman-PIC (Barge) DL & LG; ANDsatisfy the training requirements of 46 CFR 13.120(a)(2) for renewal of amerchant mariner credential endorsed as Tankerman PIC (Barge) DL and/or LG.,LA,#http://www.accutransinc.com/#,5044690500
Adams MarineSeminars,Assistance Towing,Any applicant who successfully completes the Assistance Towing (ADAMSS-42)course within one year of application will satisfy the requirements of 46 CFR11.482(b) to add an Assistance Towing endorsement to any national officerendorsement as Operator of Uninspected Passenger Vessels (OUPV) or Mate orMaster on vessels of less than 200 GRT.,FL,#http://www.adamsmarine.com#,8774471950
Adams MarineSeminars,Basic Fire Fighting,"Any applicant who has successfully completed your Basic Fire Fighting(ADAMSS-53) course will satisfy:       Fire Prevention and Fire Fighting per STCWCode Section A-VI/1;    Fire Prevention and Fire Fighting per 46 CFR 11.302(a)(2)and 46 CFR 12.602(a)(2)     Basic Fire Fighting per 46 CFR 11.201(h)(2) [Basiconly] and 46 CFR 11.201(h)(3); and      The fire fighting requirements for a nationtankerman endorsement in 46 CFR       13.201©(3), 13.301©(3); 13.401(d) and13.501©(3).",FL,#http://www.adamsmarine.com#,8774471950
Adams MarineSeminars,Bridge ResourceManagement,"Any applicant who has successfully completed your Bridge ResourceManagement (ADAMSS-75) course will satisfy:⦁ The training requirements of 46 CFR 11.309(a)(4)(vii); 11.319(a)(4)(vii); andof Section A-II/1, Table A-II/1, and Section A-II/3, Table A-II/3 of the STCWCode, as amended 2010, Maintain a Safe Navigational Watch; AND,⦁ NVIC 12-14 (CH-1) Tasks: 1.3.C, 2.3.A, and 2.3.B; AND,⦁ NVIC 13-14 Tasks: 1.4.B, 1.4.C, 1.6.A, and 1.6.B.Applicants are not required to present completed Task Control Sheets whenapplying for an endorsement.",FL,#http://www.adamsmarine.com#,8774471950
Adams MarineSeminars,First Aid & CPR,Any applicant who successfully completes your First Aid & CPR (ADMASS-197)course will satisfy the following requirements:Elementary First Aid per STCW Code Table A-VI/1-3;Elementary First Aid per 46 CFR 11.302(a)(3) and 46 CFR 12.602(a)(3);The first aid and CPR training requirements of 46 CFR 11.201(i)(1).,FL,#http://www.adamsmarine.com#,8774471950
Adams MarineSeminars,Leadership andTeamworking Skills,"Any applicant who has successfully completed your Leadership and TeamworkingSkills (ADAMSS-768) course will satisfy:The Leadership and Teamworking Skills within 46 CFR 11.309; 46 CFR 11.319;46 CFR 11.321; AND, the specific tasks from the National Assessment Guidelinesfound in NVIC 12-14 (Ch-1) (Tasks 17.1.A and 18.1.A-18.5.A), for an endorsementas Officer in Charge of a Navigational Watch;The Leadership and Teamworking Skills within 46 CFR 11.329; AND, the specifictasks from the National Assessment Guidelines found in NVIC 17-14 (Tasks 15.1.Aand16.1.A-16.4.A), for an endorsement as Officer in Charge of an EngineeringWatch;Applicants who have successfully completed this course need not presentcompleted Task Control Sheets for these assessments in application for STCWcertification.",FL,#http://www.adamsmarine.com#,8774471950
Adams MarineSeminars,Operator ofUninspectedPassenger Vessels(OUPV) (for U.S.Coast Guard andNavy PersonnelOnly),"Any applicant who has successfully completed your Operator of UninspectedPassenger Vessels (OUPV) (For U.S. Coast Guard And Navy Personnel Only)(ADAMSS-347) course and presents your Certificate of Training within one yearof the completion of training, will satisfy the examination requirements of 46 CFR11.201(j)(1) for original issuance, 46 CFR 10.227(1)(iii)for renewal, and 46 CFR10.227(i)(1) for reissuance, of a merchant mariner endorsement as Operator ofUninspected Passenger Vessels (OUPV) Upon Near Coastal, or Great Lakes andInland, or Inland Waters.  Coast Guard personnel must provide documentation toshow that they have training and one year of experience as Coxswain,Boatswains Mate, Boat Crew Engineer or Officer of the Deck.  Navy personnelmust provide documentation to show that they have training and one year ofexperience as Coxswain, Boatswains Mate, Officer of the Deck, or E-5 and aboveCraftmaster.",FL,#http://www.adamsmarine.com#,8774471950
Adams MarineSeminars,OUPV (Federal LawEnforcementPersonnel Only),"Any applicant who has successfully completed your OUPV (Federal LawEnforcement Personnel Only) (ADAMSS-624) course and presents yourCertificate of Training within one year of the completion of training, will satisfythe examination requirements of 46 CFR 11.201(j)(1) for original issuance, 46 CFR10.227(1)(iii) for renewal, and 46 CFR 10.227(i)(1) for reissuance of a merchantmariner endorsement as Operator of Uninspected Passenger Vessels (OUPV)Upon Near Coastal, or Great Lakes and Inland, or Inland Waters.  The coursecompletion certificate issued upon successful completion of this course is validfor one application which results in the issuance of an endorsement(s) and maynot be used for future application transactions.",FL,#http://www.adamsmarine.com#,8774471950
Adams MarineSeminars,Personal SurvivalTechniques (PST),"Any applicant who successfully completes your Personal Survival Techniqus(ADAMSS-363) course will satisfy the Personal Survival Techniques training andcompetency requirements of STCW Code, as amended 2010, Section A-VI/1 and46 CFR 11.302(a)(1) and 46 CFR 12.602(a)(1)      The following practicalassessment performed during this course has been determined to be equivalentof National Assessment Guidelines Tasks, as documented in NVIC 08-14Guidelines for Qualification in Basic Training NVIC 08-14:  1.1.A; 1.2.A; 1.3.A;1.3.B; 1.3.C; 1.4.A; 1.5.A; 1.6.A; 1.7.A; 1.8.A; 1.9.A; 1.10.A; 1.11.A; 1.12.A; 1.12.B;1.13.A; 1.14.A; 1.14.B; 1.14.C; 1.14.D; 1.14.E; 1.14.F; 1.14.G; 1.14.H; 1.14.I;1.14.J; 1.14.K; 1.14.L; 1.14.M; and 1.14.N. Applicants for an STCW endorsementare not required to present completed task assessment sheets for thisendorsement.",FL,#http://www.adamsmarine.com#,8774471950
Adams MarineSeminars,Rules Of The Road,"Any applicant who has successfully completed your Rules of the Road(ADAMSS-431) course with a passing grade of at least 90% will EITHER satisfy theRules of the Road Examination requirements for original issuance or renewal ofany deck credential up to Master 200 Gross Registered Tons, Master or Mate ofFishing Vessels, and Apprentice Mate (Steersman) if presented within one year ofthe completion of training; OR receive 4 days sea service credit towards any decklicense up to Master 200 gross register tons, or Master or Mate of UninspectedFishing Industry Vessels.  Per 46 CFR 10.404(a)(2), this sea service may not beused to satisfy any recentcy requirements. This course is equivalent in scope anddifficulty to the Rules of the Road examination module for International + Inland,for Coast Guard personnel only applying for Deck Watch Officer exam credit, asper COMINST 16672.5E.",FL,#http://www.adamsmarine.com#,8774471950
Adams MarineSeminars,Personal SurvivalTechniques (PST),,,,
Adams MarineSeminars,Personal SurvivalTechniques (PST),,,,
Adams MarineSeminars,Upgrade OUPV ToMaster 100 Tons,"Any applicant who has successfully completed your Upgrade OUPV to Master100 Tons (ADAMSS-530) course and presents your Certificate of Training withinone year of the completion of training, will satisfy all examination requirementsfor upgrade of a merchant mariner credential from OUPV Near Coastal, or GreatLakes and Inland, or Inland Waters to a credential of Master of Vessels of lessthan 100 gross registered tons upon Near Coastal, or Great Lakes & Inland, orInland Waters; OR, increase the scope of a credential of Master of Vessels of lessthan 100 gross registered tons upon Great Lakes and Inland, or Inland Waters toMaster of Vessels of less than 100 gross registered tons upon Near CoastalWaters.  The course completion certificate issued upon successful completion ofthis course is valid for one application which results in the issuance of anendorsement(s) and may not be used thereafter for application transactions.",FL,#http://www.adamsmarine.com#,8774471950
Adams MarineSeminars,Upgrade OUPV ToMaster 100 Tons(for U.S. CoastGuard and NavyPersonnel Only),"Any applicant who has successfully completed your Upgrade OUPV to Master100 Tons (For U.S. Coast Guard And Navy Personnel Only) (ADAMSS-531) courseand presents your Certificate of Training within one year of the completion oftraining, will satisfy all examination requirements for upgrade of a merchantmariner endorsement as Operator of Uninspected Passenger Vessels (OUPV) toMaster of vessels of not more than 100 Tons Upon Near Coastal, or Great Lakesand Inland, or Inland Waters.  Coast Guard personnel must providedocumentation to show that they have training and one year of experience asCoxswain, Boatswains Mate, Boat Crew Engineer or Officer of the Deck.  Navypersonnel must provide documentation to show that they have training and oneyear of experience as Coxswain, Boatswains Mate, Officer of the Deck, or E-5 andabove Craftmaster.  The course completion certificate issued upon successfulcompletion of this course is valid for one application which results in the issuanceof an endorsement(s) and may not be used for future application transactions.",FL,#http://www.adamsmarine.com#,8774471950
Adams MarineSeminars,Upgrade OUPV ToMaster 100 Tons,,,,
Adams MarineSeminars,Upgrade OUPV ToMaster 100 Tons,,,,
Advanced MaritimeEducation,Upgrade OUPV ToMaster 100 Tons,"Any applicant who has successfully completed your Upgrade OUPV to Master100 Tons (ADVMED-530) course and presents your Certificate of Training withinone year of the completion of training, will satisfy all examination requirementsfor upgrade of a merchant mariner credential from OUPV Near Coastal, or GreatLakes and Inland, or Inland Waters to a credential of Master of Vessels of lessthan 100 gross registered tons upon Near Coastal, or Great Lakes & Inland, orInland Waters; OR, increase the scope of a credential of Master of Vessels of lessthan 100 gross registered tons upon Great Lakes and Inland, or Inland Waters toMaster of Vessels of less than 100 gross registered tons upon Near CoastalWaters.  The course completion certificate issued upon successful completion ofthis course is valid for one application which results in the issuance of anendorsement.",CA,#http://#smartcaptains.com#,4157987544
AG Specialty ServicesInc.,Basic Fire Fighting,"Any applicant who has successfully completed your Basic Fire Fighting(AGMEDI-53) course will satisfy:⦁ Fire Prevention and Fire Fighting per STCW Code Section A-VI/1;⦁ Fire Prevention and Fire Fighting per 46 CFR 11.302(a)(2) and 46 CFR 12.602(a)(2);⦁ Basic Fire Fighting per 46 CFR 11.201(h)(2) [Basic only] and 46 CFR 11.201(h)(3); and⦁ The fire fighting requirements for a national tankerman endorsement in 46CFR 13.201(c)(3), 13.301(c)(3); 13.401(d) and 13.501(c)(3).",FL,#http://www.agspecialtyservices.com#,5163757095
AG Specialty ServicesInc.,Boating Safety,"Anyone successfully completing your Boating Safety (AGEMDI-74) course with afinal score of 80% or higher and presenting your Certificate of Training will:Satisfy the Safe Boating Course requirements of 46 CFR 11.429(a)(2), 11.456(a)(2), and 11.467(f)(2);  ORReceive 2 days sea service credit towards any deck credential restricted toservice upon vessels of not more than 100 gross tons.  This sea service credit maynot be used to satisfy any recency requirements.",FL,#http://www.agspecialtyservices.com#,5163757095
AG Specialty ServicesInc.,First Aid/CPR/AED,Any applicant who successfully completes your First Aid/CPR/AED (AGMEDI-203)course will satisfy the following requirements:⦁ Elementary First Aid per STCW Code Table A-VI/1-3;⦁ Elementary First Aid per 46 CFR 11.302(a)(3) and 46 CFR 12.602(a)(3); andThe first aid and CPR training requirements of 46 CFR 11.201(i)(1).,FL,#http://www.agspecialtyservices.com#,5163757095
AG Specialty ServicesInc.,HazardousMaterialsRegulations,"Any applicant who has successfully completed your Hazardous MaterialsRegulations (AGMEDI-214) course will satisfy the following competency:Carriage of dangerous goods,  competency of Table A-II/2 of the STCW Code, asamended 2010, under the Function:  Cargo Handling & Stowage at theManagement Level;    AND, will receive six days sea service credit towards anydeck credential or endorsement.  This sea service credit may not be used tosatisfy any recency requirements for service on specific routes.",FL,#http://www.agspecialtyservices.com#,5163757095
AG Specialty ServicesInc.,Medical CarePerson in Charge,Any applicant who has successfully completed your Medical Care Person inCharge (AGMEDI-307) course will satisfy:⦁ The required training for Medical Care Person In Charge requirements of46 CFR 12.621(a)(1); AND⦁ The Standards of Competence of Table A-VI/4-2 of the STCW Code requiredby 46 CFR 12.621(a)(2) demonstrated by completing the tasks outlined inNVIC 02-04.,FL,#http://www.agspecialtyservices.com#,5163757095
AG Specialty ServicesInc.,Medical CareProvider,Any applicant who has successfully completed your Medical Care Provider(AGMEDI-310) course will satisfy the following:⦁ STCW Code Table A-VI/4-1; and⦁ the competency requirements of 46 CFR 12.619(a)(2); and the MedicalFirst-Aid Provider training requirements of 46 CFR 11.309(a)(4)(i); 46 CFR11.317(a)(3)(i); 46 CFR 11.319(a)(4)(i); 46 CFR 11.329(a)(4)(i); 46 CFR11.335(a)(3)(i); and 46 CFR 12.619(a)(1); and⦁ the specific task from NVIC 12-14 (Ch-1) (Task 16.1).,FL,#http://www.agspecialtyservices.com#,5163757095
AG Specialty ServicesInc.,Personal Safety &SocialResponsibilities(PSSR),"Any applicant who successfully completes your Personal Safety & SocialResponsibilities (AGMEDI-359) course will satisfy the Personal Safety & SocialResponsibilities competency and training requirements of Section A-VI/1 andTable A-VI/1-4 of the STCW Code, as amended 2010, and 46 CFR 11.302(a)(4) and12.602(a)(4); AND have performed all assessment tasks as guided by theapplicable section within the Basic Training NVIC 08-14.Applicants are not required to present completed record of assessment sheetswhen applying for the STCW endorsement.",FL,#http://www.agspecialtyservices.com#,5163757095
AG Specialty ServicesInc.,Personal SurvivalTechniques (PST),"Any applicant who successfully completes your Personal Survival Techniques(AGMEDI-363) course will satisfy the Personal Survival Techniques training andcompetency requirements of STCW Code, as amended 2010,  Section A-VI/1 and46 CFR 11.302(a)(1) and 46 CFR 12.602(a)(1) AND  have performed all practicaldemonstrations as guided by the applicable section within the Basic TrainingNVIC 08-14.Applicants are not required to present completed record of assessment sheetswhen applying for the STCW endorsement.",FL,#http://www.agspecialtyservices.com#,5163757095
AG Specialty ServicesInc.,Train the Trainer,"Any applicant who has successfully completed your Train the Trainer(AGMEDI-597) course will satisfy the Train the Trainer and Assessor trainingrequirements of 46 CFR 10.402(b)(2)(iii)(A), 10.405(a)(1) and 46 CFR 10.407(c)(5)(i), and the requirement for instructors and assessors as stated in Section A-I/6,paragraph 7, of the STCW Code, as amended 2010 and the guidance regardingQualified Instructors as stated in NVIC 03-14, and Qualified Assessors as stated inNVIC 19-14.",FL,#http://www.agspecialtyservices.com#,5163757095
Alaska Department ofPublic Safety,Advanced FireFighting,"Any applicant who has successfully completed your Advanced Fire Fighting(ALADPS-15) course will satisfy the Advanced Fire Fighting training requirementsof Section A-VI/3 and Table A-VI/3 of the STCW Code, as amended 2010, 46 CFR11.201(h), and 11.303(a).",AK,#http://www.dps.alaska.gov/default.aspx#,9074653117
Alaska Department ofPublic Safety,Basic Fire Fighting,"Any applicant who has successfully completed your Basic Fire Fighting(ALADPS-53) course will satisfy:   1. Fire Prevention and Fire Fighting per STCWCode Section A-VI/1;  2.  Fire Prevention and Fire Fighting per 46 CFR 11.302(a)(2)and 46 CFR 12.602(a)(2); 3.  Basic Fire Fighting per 46 CFR 11.201(h)(2) [Basiconly] and 46 CFR 11.201(h)(3); and  4.  The fire fighting requirements for anational tankerman endorsement in 46 CFR   13.201(c)(3), 13.301(c)(3);13.401(d) and 13.501(c)(3).",AK,#http://www.dps.alaska.gov/default.aspx#,9074653117
Alaska MarineHighway System,High-Speed CraftType RatingRevalidation(Fairweather Class),Any applicant who has successfully completed your High Speed Craft Type RatingRevalidation (Fairweather Class) Program (ALAMHS-223) will satisfy the trainingrequirements of 46 CFR 11.821(e)(2) for renewal of a High Speed Craft TypeRating certification valid on Fairweather Class vessels.,AK,#http://www.ferryalaska.com#,9072287272
Alaska MarineHighway System,High-Speed CraftType RatingProgram(Fairweather Class),Any applicant who has successfully completed your High Speed Craft Type RatingProgram (Fairweather Class) (ALAMHS-221) will satisfy the training requirementsof 46 CFR 11.821(b)(2) for High Speed Craft Type Rating certification valid onFairweather Class vessels.,AK,#http://www.ferryalaska.com#,9072287272
Alaska MarineHighway System,Medical CarePerson in Charge,"Any applicant who has successfully completed your Medical Care Person inCharge (ALAMHS-307) course will satisfy the Medical Care Person In Chargetraining requirements of Section A-VI/4 and Table A-VI/4-2 of the STCW Code, asamended.",AK,#http://www.ferryalaska.com#,9072287272
Alaska Marine SafetyEducation Association,Marine SafetyInstructor,"The curriculum of your Marine Safety Instructor (ALMSEA-276) course has beenevaluated and found to meet the training requirements of 46 CFR 28.270(c); ANDmeets the evidence of Effective Instructional Techniques requirement of 46 CFR10.402(b)(2)(iii)(A) and 46 CFR 10.407(c)(5)(i) AND satisfy the requirement forinstructors as stated in Section A-I/6, paragraph 7, of the STCW Code, asamended 2010 and the guidance regarding Qualified Instructors as stated inNVIC 03-14, Enclosure (2), Section 1, paragraph (d)",AK,#http://www.amsea.org#,9077473287
Alaska Marine SafetyEducation Association,Onboard DrillInstructor,The curriculum of your Onboard Drill Instructor (ALMSEA-334) course has beenevaluated and found to meet the training requirements of 46 CFR 28.270(c).,AK,#http://www.amsea.org#,9077473287
Alaska Marine SafetyEducation Association,"SurvivalEquipment,Procedures & On-Board Drills","The curriculum of your Survival Equipment, Procedures & Onboard Drills(ALMSEA-490) course has been evaluated and found to meet the trainingrequirements of 46 CFR 28.270(c).",AK,#http://www.amsea.org#,9077473287
Alaska Nautical School,Able Seaman,Any applicant who successfully completes your Able Seaman (ALANTS-1) coursewithin 1 year of application will satisfy the professional examinationrequirements of 46 CFR 12.401 (c) (5) for any national rating endorsement asAble Seaman.,AK,#http://www.aknauticaltraining.com/#,8663572687
Alaska Nautical School,Master 100 Tons,"Any applicant who has successfully completed your Master 100 Tons(ALANTS-281) course and who presents your Certificate of Training within oneyear of the completion of training, will satisfy the examination requirements of46 CFR 11.201(j)(1) for original issuance, 46 CFR 10. 227(e)(1)(iii) for renewal, and46 CFR 10.227(i) for reissuance for any one the following endorsements and maynot be used for any application transactions thereafter:⦁ Master of less than 100 GRT, Near Coastal, or Great Lakes & Inland, or InlandWaters; OR,⦁ Master of less than 100 GRT, Near Coastal, Raise in Grade from OUPV NearCoastal; OR,⦁ Operator of Uninspected Passenger Vessels (OUPV) or Mate of less than 100GRT Upon Near Coastal, or Great Lakes & Inland, or Inland Waters.",AK,#http://www.aknauticaltraining.com/#,8663572687
Alaska Nautical School,Operator ofUninspectedPassenger Vessels(OUPV),"Any applicant who has successfully completed your Operator of UninspectedPassenger Vessels (OUPV) (ALANTS-340) course and presents your Certificate ofTraining within one year of the completion of training, will satisfy theexamination requirements of 46 CFR 11.201(j)(1) for original issuance, 46 CFR10.227(1)(iii) for renewal, and 46 CFR 10.227(i)(1) for reissuance of a merchantmariner endorsement as Operator of Uninspected Passenger Vessels (OUPV)Upon Near Coastal, or Great Lakes and Inland, or Inland Waters.  The coursecompletion certificate issued upon successful completion of this course is validfor one application which results in the issuance of an endorsement(s) and maynot be used for future application transactions.",AK,#http://www.aknauticaltraining.com/#,8663572687
Alaska Nautical School,OUPV GuidesRestricted to theFreshwaters andRivers of WesternAlaska,"Any applicant who has successfully completed your OUPV Guides Restricted tothe Freshwaters and Rivers of Western Alaska (ALANTS-354) course AND,presents your Certificate of Training within one year of the completion oftraining; will satisfy the examination requirements of 46 CFR 11.903 for originalissuance, 46 CFR 10.227(e) for renewal, and 46 CFR 10.227(i) for reissuance of anendorsement as an Operator of Uninspected Passenger Vessels Upon InlandWaters Restricted to Sector Anchorage Approved Routes.",AK,#http://www.aknauticaltraining.com/#,8663572687
"Alaska RecreationalManagement, Inc.",Russian River FerryOperator Training,"Any applicant who has successfully completed your Russian River Ferry OperatorTraining (ALARMI-441) course and presents your Certificate of Training withinone year of the completion of training, will satisfy the service requirement of 46CFR 11.201(l) and the examination requirement of 46 CFR 11.456 for originalissuance, renewal, or reissuance of a license as Master of Non Self-PropelledCable Ferries, Restricted to the Russian River of Alaska.   The specificendorsement, distance from shore, and other professional requirements will bedetermined by the applicant s application as provided by CG Sector Anchorage.This modification shall be effective October 1, 2016.  All other terms andconditions of the course approval, including date of expiry, remain the same.",AK,#http://www.alaskarm.com/Home/home.htm#,9075228368
Alaska Rescue,OUPV GuidesRestricted to theFreshwaters andRivers of WesternAlaska,"Any applicant who has successfully completed your OUPV Guides Restricted tothe Freshwaters and Rivers of Western Alaska (ALARES-354) course AND,presents your Certificate of Training within one year of the completion oftraining; will satisfy the examination requirements of 46 CFR 11.903 for originalissuance, 46 CFR 10.227(e) for renewal, and 46 CFR 10.227(i) for reissuance of anendorsement as an Operator of Uninspected Passenger Vessels Upon InlandWaters Restricted to Sector Anchorage Approved Routes.All other terms and conditions of approval for this course, including date ofexpiry, remain the same.",OR,#http://alaskarescue.com/index.html#,9072094781
"Alaska WatersConsulting, LLC",Operator ofUninspectedPassenger Vessels(OUPV),"Any applicant who has successfully completed your Operator of UninspectedPassenger Vessels (OUPV) (NAUTAA-340) course and presents your Certificate ofTraining within one year of the completion of training, will satisfy theexamination requirements of 46 CFR 11.205(f) for original issuance, 46 CFR10.227(d)(8)(i)(C) for renewal, and 46 CFR 10.227(g) for reissuance, of amerchant mariner endorsement as Operator of Uninspected Passenger Vessels(OUPV) Upon Near Coastal, or Great Lakes and Inland, or Inland Waters.  Thecourse completion certificate issued upon successful completion of this course isvalid for one application which results in the issuance of an endorsement(s) andmay not be used for future application transactions.",AK,#http://www.alaskawatersconsulting.com/#,9073607872
